start_time,end_time,speech,start_frame,end_frame
1340,3930,本当はバンドやりたいんじゃないの,32,94
1340,3930,妳其實很想組樂隊吧,32,94
6090,7090,なんで,146,169
6090,7090,為什麼這麼說,146,169
7490,10080,『春日影』　いい曲だったから,179,241
7490,10080,因為《春日影》是首好歌,179,241
11190,13350,なんか響いたっていうか,268,320
11190,13350,感覺我也有點共鳴吧,268,320
13670,15100,うまく言えないけど,327,362
13670,15100,雖然說不清楚,327,362
15310,16780,ちょっとびっくりした,367,402
15310,16780,但確實挺吃驚的,367,402
17580,22000,バンドやれてうれしいって燈ちゃんの気持ち　伝わってきて,421,527
17580,22000,能感受到妳因樂隊而快樂的心情,421,527
25820,27870,私のせいだから,619,668
25820,27870,都怪我,619,668
31300,34180,CRYCHIC解散したの,750,819
31300,34180,CRYCHIC才解散了,750,819
35020,37820,別に燈ちゃんのせいじゃないと思うけど,839,906
35020,37820,我覺得不是妳的問題吧,839,906
38270,41100,てか　急にやめた子のほうが悪くない,917,985
38270,41100,話說 突然退出的人才有問題吧,917,985
41100,42950,理由も言わなかったんでしょう,985,1029
41100,42950,她都沒告訴妳們理由,985,1029
42950,44500,ちょっと勝手じゃない,1029,1066
42950,44500,是不是有些自私,1029,1066
44500,46640,それで燈ちゃんたち傷つけて…,1066,1118
44500,46640,因此讓妳們傷了心…,1066,1118
46640,48530,祥ちゃんも悪くない,1118,1163
46640,48530,也不是小祥的錯,1118,1163
52820,54950,誰も悪くないんだよ,1266,1317
52820,54950,不應該歸咎為誰的錯,1266,1317
58860,59700,久しぶり,1411,1431
58860,59700,好久不見,1411,1431
60900,61520,はい,1460,1475
60900,61520,給,1460,1475
63370,64730,カフェモカだよね,1519,1551
63370,64730,摩卡咖啡沒錯吧,1519,1551
69180,71080,誰も悪くないなら,1658,1704
69180,71080,既然大家都沒有錯,1658,1704
73910,75750,なんで解散したの,1772,1816
73910,75750,為什麼解散了,1772,1816
79890,80890,燈ちゃん,1915,1939
79890,80890,小燈,1915,1939
85550,85980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2051,2061
85550,85600,もしこの雨が上がっても,2051,2052
85550,85600,もしこの雨が上がっても,2051,2052
85550,85980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2051,2061
85550,85600,もしこの雨が上がっても,2051,2052
85550,85600,もしこの雨が上がっても,2051,2052
85600,85640,もしこの雨が上がっても,2052,2053
85600,85640,もしこの雨が上がっても,2052,2053
85600,85640,もしこの雨が上がっても,2052,2053
85600,85640,もしこの雨が上がっても,2052,2053
85600,86010,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2052,2062
85600,85980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2052,2061
85600,85640,即使雨過天晴,2052,2053
85600,85600,即使雨過天晴,2052,2052
85600,85640,即使雨過天晴,2052,2053
85600,85640,即使雨過天晴,2052,2053
85600,85600,即使雨過天晴,2052,2052
85600,85640,即使雨過天晴,2052,2053
85600,86010,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2052,2062
85600,85980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2052,2061
85600,85640,即使雨過天晴,2052,2053
85600,85600,即使雨過天晴,2052,2052
85600,85640,即使雨過天晴,2052,2053
85600,85640,即使雨過天晴,2052,2053
85600,85600,即使雨過天晴,2052,2052
85600,85640,即使雨過天晴,2052,2053
85640,86050,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2053,2063
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,86050,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2053,2063
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,もしこの雨が上がっても,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85640,85690,即使雨過天晴,2053,2054
85690,86100,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2054,2064
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,86100,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2054,2064
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,もしこの雨が上がっても,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85690,85730,即使雨過天晴,2054,2055
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,85760,もしこの雨が上がっても,2055,2056
85730,85800,もしこの雨が上がっても,2055,2057
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,85800,もしこの雨が上がっても,2055,2057
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,85760,もしこの雨が上がっても,2055,2056
85730,85800,もしこの雨が上がっても,2055,2057
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,85800,もしこの雨が上がっても,2055,2057
85730,85760,もしこの雨が上がっても,2055,2056
85730,85760,もしこの雨が上がっても,2055,2056
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,85760,即使雨過天晴,2055,2056
85730,85760,即使雨過天晴,2055,2056
85730,85760,即使雨過天晴,2055,2056
85730,85800,即使雨過天晴,2055,2057
85730,85760,即使雨過天晴,2055,2056
85730,85760,即使雨過天晴,2055,2056
85730,85760,即使雨過天晴,2055,2056
85730,85800,即使雨過天晴,2055,2057
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,86140,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,2055,2065
85730,85760,即使雨過天晴,2055,2056
85730,85760,即使雨過天晴,2055,2056
