start_time,end_time,speech,start_frame,end_frame
8030,9390,あれからどうしました,192,225
8030,9390,那之後怎麼樣了,192,225
10630,11610,バンドのことです,254,278
10630,11610,我是指樂隊,254,278
14160,14880,終わった,339,356
14160,14880,結束了,339,356
19530,20420,そうですか,468,489
19530,20420,是嗎,468,489
21690,23870,今度のテスト　心配だな,520,572
21690,23870,下次考試 心裡好沒底,520,572
23870,25780,ごきげんよう,572,618
23870,25780,貴安,572,618
28350,29160,ごきげんよう,679,699
28350,29160,貴安,679,699
28530,30420,もうすぐ夏休みだね,684,729
28530,30420,馬上就放暑假了啊,684,729
30420,32250,その前に期末テストだよ,729,773
30420,32250,在那之前還有期末考試呢,729,773
32250,33810,そよちゃん　余裕でしょう,773,810
32250,33810,爽世肯定輕輕鬆鬆吧,773,810
33810,35460,そんなことないよ,810,850
33810,35460,不至於啦,810,850
35460,36670,今度教えて,850,879
35460,36670,之後也教教我,850,879
37350,38920,どうしようかな,895,933
37350,38920,該怎麼辦呢,895,933
38920,41170,そよちゃんの教え方上手だもんね,933,987
38920,41170,畢竟爽世可擅長教別人了,933,987
41170,42280,そうかな,987,1013
41170,42280,是嗎,987,1013
43570,47530,一直迷茫,1044,1139
43570,47530,本字幕由喵萌Production製作  僅供交流試看之用  請勿用於商業用途\N翻譯：Ronny　後期：MIR　繁化&特效：錯黨,1044,1139
46360,47780,またダメになった,1111,1145
46360,47780,我又失敗了,1111,1145
50530,51340,全部,1211,1230
50530,51340,全部,1211,1230
52740,53500,全部,1264,1282
52740,53500,全部,1264,1282
55420,57070,悲しいのはイヤだ,1328,1368
55420,57070,我討厭悲傷,1328,1368
58390,59850,つらいのはイヤだ,1399,1434
58390,59850,我討厭難過,1399,1434
61460,63350,やらなければよかった,1473,1518
61460,63350,早知道就不該如此,1473,1518
62180,64500,かなこ　今日髪の匂い違くない,1490,1546
62180,64500,佳奈子 妳今天頭髮的氣味變了,1490,1546
64500,65580,匂いって,1546,1572
64500,65580,氣味可還行,1546,1572
65580,68000,お姉ちゃんのシャンプーを使ったってさ,1572,1630
65580,68000,她說用了姐姐的洗髮水,1572,1630
65840,66960,何もかも,1578,1605
65840,66960,一切,1578,1605
68000,69630,だよね　ちょっと…,1630,1669
68000,69630,就說嘛 有點…,1630,1669
68670,69890,何もかも,1646,1675
68670,69890,一切,1646,1675
70410,71780,燈ちゃん　おはよう,1688,1720
70410,71780,小燈 早,1688,1720
71780,72830,おはよう,1720,1746
71780,72830,早,1720,1746
74160,78330,涙も出ないのに　目の端がチリチリ痛い,1778,1878
74160,78330,淚水流不出來 眼角卻隱隱刺痛,1778,1878
76600,78910,前も怒られたでしょ,1836,1891
76600,78910,妳之前也被批評過吧,1836,1891
78910,80300,そうなの,1891,1925
78910,80300,就是啊,1891,1925
79080,80920,どうすればいいのかな,1896,1940
79080,80920,我該怎麼辦呢,1896,1940
80300,81920,でも　羨ましい,1925,1964
80300,81920,但是 我有點羨慕,1925,1964
82980,87230,伊索寓言,1989,2091
83550,86550,どう伝えればいいのか分からないのに,2003,2075
83550,86550,我不知道該怎麼表達才好,2003,2075
87230,90230,代表性的寓言\N\N\N\N《狗和影子》\N\N\N\N一條狗叼著肉要過河。\N\N\N\N渡到途中看到水裡的倒影。\N\N\N\N你這肉怎麼比我的還大。,2091,2163
87370,89670,ちゃんと話したかった,2094,2149
87370,89670,但還是想好好說出口,2094,2149
90390,92270,ちゃんと聞いてほしかった,2167,2212
90390,92270,希望妳能仔細聽我說,2167,2212
94350,97210,ちゃんと言えたら…,2262,2330
94350,97210,如果能說出口…,2262,2330
99750,100890,グチャグチャだ,2391,2418
99750,100890,一團亂麻,2391,2418
102650,103840,ダンゴムシ,2461,2489
102650,103840,西瓜蟲,2461,2489
105530,108290,たくさんの言葉が耳に詰まって,2530,2596
105530,108290,無數詞語堵住了我的耳朵,2530,2596
109750,110600,違う,2631,2651
109750,110600,不對,2631,2651
111710,114310,ワンワンと叫んで行ったり来たり,2678,2740
111710,114310,是它們汪汪叫 跑來跑去,2678,2740
115610,116670,消えていく,2771,2797
115610,116670,然後消失,2771,2797
117740,118820,違うのに,2822,2848
117740,118820,明明不該這樣,2822,2848
120120,123240,きっと　間違えてしまったんだ,2880,2954
120120,123240,一定是我做錯了,2880,2954
124710,125910,いつもそうだ,2990,3018
124710,125910,總是如此,2990,3018
126780,129110,あるのに　触れなくなってしまって,3039,3095
126780,129110,原本在身邊 卻變得遙不可及,3039,3095
129920,131920,見えるのに　なくなってしまって,3114,3162
129920,131920,原本在眼前 卻消失不見,3114,3162
133300,136000,全部　なくなってしまった,3196,3260
133300,136000,全部都消失不見,3196,3260
137050,138050,何もかも,3285,3309
137050,138050,一切,3285,3309
139530,140500,何もかも,3345,3368
139530,140500,一切,3345,3368
142170,144120,何も言わなかったから,3408,3455
142170,144120,就因為我什麼也沒說,3408,3455
144980,145830,また…,3476,3496
144980,145830,才會又…,3476,3496
146500,147460,渺小的我,3512,3535
147690,149500,人間になれなかった,3541,3584
147690,149500,沒能成為人,3541,3584
151000,153090,どこかに行ってしまいたいのに,3620,3670
151000,153090,想要離開現在的處境,3620,3670
153820,155430,いつもダメなままで,3687,3726
153820,155430,卻總是失敗,3687,3726
156030,157790,口が空っぽになって,3740,3783
156030,157790,口中變得空洞,3740,3783
158710,160590,言葉が渇いてしまった,3805,3850
158710,160590,渴望更多的詞句,3805,3850
162170,163470,どうすれば,3888,3919
162170,163470,該怎麼辦,3888,3919
172280,173700,これ倒れなくて,4130,4164
172280,173700,這個放不下去,4130,4164
173950,175400,うるさかったよね,4170,4205
173950,175400,抱歉吵到妳了,4170,4205
176970,178030,この席…,4243,4268
176970,178030,這個座位…,4243,4268
185160,187410,それでは上映を開始いたします,4439,4493
185160,187410,接下來開始播放節目,4439,4493
187410,189160,ありがとう　助かった,4493,4535
187410,189160,謝謝妳幫了我,4493,4535
188130,191410,最後までごゆっくり　お楽しみください,4510,4589
188130,191410,請放鬆身心 享受到最後一刻,4510,4589
198600,201890,以上で　本日のプログラムは終了です,4761,4840
198600,201890,今天的節目到此結束,4761,4840
202210,204420,場内　段差がございますので…,4848,4901
202210,204420,場內有台階…,4848,4901
218890,219960,危ないよ,5248,5273
218890,219960,危險,5248,5273
229000,230100,大丈夫,5490,5516
229000,230100,妳沒事吧,5490,5516
231810,233500,泣きだしそうに見えたから,5557,5598
231810,233500,我看妳好像快哭了,5557,5598
246750,249530,都会でも　北極星って見えるんだよね,5916,5982
246750,249530,即便在大都市 也能看到北極星,5916,5982
250600,253260,東京じゃ星は見えないって思ってたから,6008,6072
250600,253260,我還以為在東京看不到星星,6008,6072
