start_time,end_time,speech,start_frame,end_frame
31230,32000,祥ちゃん,748,767
31230,32000,小祥,748,767
32560,34250,良かった　来てくれて,780,821
32560,34250,太好了 妳終於來了,780,821
34650,36610,びしょぬれじゃない　大丈夫,830,877
34650,36610,怎麼濕成這樣 妳沒事吧,830,877
37070,39930,学校休んでるし　返事も全然ないから,888,957
37070,39930,妳最近不來學校 發消息也不回,888,957
42130,43850,今日は言うことがあって来ましたの,1010,1051
42130,43850,今天我來是有話要說,1010,1051
46680,49890,CRYCHICを　やめさせていただきますわ,1119,1196
46680,49890,我要退出CRYCHIC了,1119,1196
56210,57920,ちょ…　ちょっと待って,1347,1388
56210,57920,等… 等一下,1347,1388
58340,59610,いったん座らない,1398,1429
58340,59610,要不先坐下,1398,1429
61670,63790,どうして　何かあった,1478,1529
61670,63790,為什麼 出什麼事了嗎,1478,1529
64160,65630,私たちには言えない,1538,1573
64160,65630,不能跟我們說嗎,1538,1573
66010,68160,それとも私たちが原因,1582,1634
66010,68160,或者原因就在於我們嗎,1582,1634
69750,71770,ダメな所あったら　直すから,1672,1720
69750,71770,如果有不好的地方 可以改,1672,1720
72280,74010,私ひとりの問題ですから,1732,1774
72280,74010,是我自己的問題,1732,1774
75980,76980,どうして,1821,1845
75980,76980,為什麼,1821,1845
77420,79620,この前のライブ楽しかったじゃない,1856,1908
77420,79620,之前的Live多開心呀,1856,1908
80050,82050,またやりたいって話してたよね,1919,1967
80050,82050,妳也說過下次還想辦吧,1919,1967
82050,83030,言ってませんわ,1967,1990
82050,83030,我沒說過,1967,1990
83300,86210,そうだっけ…,1997,2066
83300,86210,是嗎…,1997,2066
87390,90510,でも　CRYCHICを始めたのは祥ちゃんだよ,2095,2170
87390,90510,但是 提出要組建CRYCHIC的是妳,2095,2170
90870,92350,祥ちゃんがやめたら…,2178,2214
90870,92350,妳要是先退出…,2178,2214
96280,98900,本当にやめちゃうの,2308,2371
96280,98900,妳真的要退出嗎,2308,2371
100320,101960,燈が聞いてるんだけど,2405,2444
100320,101960,燈在問妳呢,2405,2444
102210,103710,てか　無責任じゃない,2450,2486
102210,103710,話說妳也太不負責任了吧,2450,2486
105770,106850,なんで黙ってんの,2535,2561
105770,106850,為什麼不說話,2535,2561
106850,107850,立希ちゃん　やめて,2561,2585
106850,107850,立希 別說了,2561,2585
107850,109710,じゃ迷惑かけないでやめてくれる,2585,2630
107850,109710,妳要退出能不能別給我們添麻煩,2585,2630
109710,111220,今日だって祥子待ちで…,2630,2666
109710,111220,今天也是為了等妳…,2630,2666
111220,112040,立希ちゃん,2666,2686
111220,112040,立希,2666,2686
113890,116000,私がいなくてもできたでしょう,2730,2781
113890,116000,沒有我妳們也做到了吧,2730,2781
116810,118970,練習したいなら　すればいいでしょう,2800,2852
116810,118970,想練習的話 自己練不就好了,2800,2852
119360,122180,全員そろわないとできないルールなんてありませんわ,2861,2929
119360,122180,誰規定了非要人到齊才能練,2861,2929
123000,124420,人のせいにしないで,2949,2983
123000,124420,別把責任丟給別人,2949,2983
125030,127290,でも　祥ちゃんがいないと…,2997,3051
125030,127290,但是 小祥不在的話…,2997,3051
127570,129500,甘ったれたことを言わないでちょうだい,3058,3104
127570,129500,別說這種推卸責任的話,3058,3104
129860,132220,燈は特に練習しないといけないのに,3113,3170
129860,132220,妳明明特別需要練習,3113,3170
132380,134070,今まで何をやってたんですの,3173,3214
132380,134070,可現在為止妳都做了什麼,3173,3214
135860,137690,燈はお前を待ってたんだよ,3257,3301
135860,137690,燈是在等妳啊,3257,3301
138250,139100,待って,3314,3335
138250,139100,等一下,3314,3335
139320,141460,ちゃんと話し合おうよ　ね,3340,3391
139320,141460,好好溝通一下 好嗎,3340,3391
141780,144070,せっかく楽しくやってきたんだから,3399,3454
141780,144070,難得之前都挺開心的,3399,3454
144260,146500,睦ちゃんもそう思うよね,3458,3512
144260,146500,小睦也這麼覺得吧,3458,3512
149890,150830,私は…,3593,3616
149890,150830,我…,3593,3616
152430,157590,バンド　楽しいって思ったこと　一度もない,3654,3778
152430,157590,從沒覺得組樂隊開心過,3654,3778
194990,195500,Sorry,4675,4687
194990,195500,抱歉,4675,4687
203440,204230,帰ろう,4877,4896
203440,204230,回去吧,4877,4896
207260,210100,中学では生徒会長だったんですね,4969,5037
207260,210100,妳初中的時候是學生會長啊,4969,5037
210330,210870,はい,5042,5055
210330,210870,是的,5042,5055
211070,213570,こちらの学校でも積極的に動いて,5060,5120
211070,213570,我在這邊的學校也會積極進取,5060,5120
213570,216740,充実した高校生活を送りたいと考えています,5120,5196
213570,216740,爭取度過充實的高中生活,5120,5196
217060,218570,うん　いいですね,5204,5240
217060,218570,嗯 挺好,5204,5240
218710,221890,ありがとうございます　面接は以上です,5243,5320
218710,221890,謝謝妳 面試到此為止,5243,5320
222060,224180,はい　ありがとうございました,5324,5374
222060,224180,好的 感謝您,5324,5374
227250,228880,手応えあったな,5448,5487
227250,228880,感覺拿下了啊,5448,5487
229680,230970,内申もいいし,5506,5537
229680,230970,檔案成績也很好,5506,5537
230970,232970,まあ　問題なく入れるでしょう,5537,5585
230970,232970,入學應該沒問題了,5537,5585
234240,236030,ここでやり直すんだ,5616,5659
234240,236030,我要在這裡從頭來過,5616,5659
248050,249280,何か落とした,5947,5976
248050,249280,妳弄丟東西了嗎,5947,5976
263780,265850,もうすぐゴールデンウイークですが,6324,6374
263780,265850,儘管已經快到黃金週了,6324,6374
265850,267830,今日からクラスの一員になる,6374,6421
265850,267830,今天我們迎來了一位新同學,6374,6421
268070,269140,千早愛音です,6427,6452
268070,269140,我是千早愛音,6427,6452
269600,271980,家の都合で　変な時期の入学ですが,6463,6520
269600,271980,我因為家庭的原因 入學時間晚了些,6463,6520
271980,273850,良かったら仲良くしてください,6520,6565
271980,273850,希望大家能多多關照我,6520,6565
273850,275000,よろしくお願いします,6565,6593
273850,275000,請多指教,6565,6593
276570,279350,千早さん　いちばん後ろの席座って,6631,6697
276570,279350,千早同學 請坐到最後面的空位,6631,6697
279640,280030,はい,6704,6714
279640,280030,好的,6704,6714
279810,280610,よろしくね,6708,6727
279810,280610,請多關照,6708,6727
280610,281420,よろしくね,6727,6747
280610,281420,請多關照,6727,6747
282390,283630,よろしく,6770,6800
282390,283630,請多關照,6770,6800
285180,285820,石,6837,6852
285180,285820,石頭,6837,6852
288640,289560,よろしくね,6920,6942
288640,289560,請多關照,6920,6942
290020,292140,では　ホームルームを始めます,6953,7004
290020,292140,那麼 開始班會吧,6953,7004
293780,295880,挨拶無難にまとめたけど,7043,7094
293780,295880,打招呼比較保守,7043,7094
296070,298460,なじむためにはこれくらいがいいよね,7098,7155
296070,298460,不過這樣也比較好融入班級吧,7098,7155
298820,300040,次は…,7164,7193
298820,300040,然後是…,7164,7193
301360,302560,千早さん,7225,7254
301360,302560,千早同學,7225,7254
303430,304030,なに,7275,7289
303430,304030,怎麼了,7275,7289
305000,309000,高松燈です　よろしく,7312,7408
305000,309000,我是高松燈 請多關照,7312,7408
319640,321190,ヤバッ　昼休み,7663,7700
319640,321190,糟了 午休時間,7663,7700
322210,325050,誰と仲良くするのがいいかなあ,7725,7793
322210,325050,該先找誰交朋友呢,7725,7793
326300,327920,テンション高すぎ,7823,7862
326300,327920,太鬧騰了,7823,7862
329530,330690,真面目すぎ,7900,7928
329530,330690,太嚴肅了,7900,7928
331510,333570,燈ちゃん　また天文部,7948,7997
331510,333570,小燈 妳又要去天文部嗎,7948,7997
334470,335640,いってらっしゃい,8019,8047
334470,335640,再見啦,8019,8047
336210,337470,話しかけやすそう,8060,8091
336210,337470,看起來比較好搭話,8060,8091
342470,345530,あの　一緒に食べてもいいかな,8211,8284
342470,345530,請問 我可以一起吃嗎,8211,8284
345530,346850,食べよう食べよう,8284,8316
345530,346850,好啊好啊,8284,8316
346850,347700,ありがとう,8316,8336
346850,347700,謝謝,8316,8336
348140,351180,千早って名字　名前みたいでかわいいね,8347,8419
348140,351180,千早這個姓像是名字一樣 好可愛,8347,8419
351180,352070,かわいい,8419,8441
351180,352070,可愛嗎,8419,8441
352070,353170,かわいいよ,8441,8467
352070,353170,挺可愛的,8441,8467
353170,355460,前の学校で何て呼ばれてたの,8467,8522
353170,355460,妳之前學校的同學都怎麼稱呼妳,8467,8522
357390,358650,千早すごい,8568,8599
357390,358650,千早好厲害,8568,8599
358650,359640,千早また満点,8599,8622
358650,359640,千早又是滿分啊,8599,8622
359640,360260,千早,8622,8637
359640,360260,千早,8622,8637
360260,362040,千早頭いいよね,8637,8680
360260,362040,千早真聰明啊,8637,8680
362270,363740,さっすが千早,8685,8721
362270,363740,不愧是千早,8685,8721
364290,365710,そんなことないよ,8734,8768
364290,365710,沒有這回事啦,8734,8768
368160,369230,愛音でいいよ,8827,8852
368160,369230,叫我愛音就行,8827,8852
369230,370330,じゃ　愛音ちゃん,8852,8879
369230,370330,那就愛音,8852,8879
370330,371920,愛音もかわいい,8879,8917
370330,371920,叫愛音也可愛,8879,8917
372180,375090,入学遅れたのお家の都合って言ってたけど,8923,8993
372180,375090,妳說入學晚是因為家裡的原因,8923,8993
375090,376140,大変だね,8993,9018
375090,376140,肯定挺不容易吧,8993,9018
376600,378370,ね　めっちゃ大変,9029,9071
376600,378370,是啊 是挺難的,9029,9071
378370,380500,もうみんなグループできてるじゃん,9071,9122
378370,380500,妳看班裡的圈子都形成了,9071,9122
380500,381940,そうだよね,9122,9157
380500,381940,是啊,9122,9157
381940,384170,燈ちゃんとは知り合いだったの,9157,9210
381940,384170,妳和小燈原來就認識嗎,9157,9210
384480,385190,思った,9218,9235
384480,385190,我也覺得,9218,9235
386010,387600,朝話してたよね,9254,9293
386010,387600,妳早上和她說話了吧,9254,9293
387600,388750,いやいや,9293,9320
387600,388750,沒有沒有,9293,9320
388750,391800,前　ちょっと石？　拾ってるとこ遭遇して,9320,9393
388750,391800,是我之前碰到過她在撿… 石頭？,9320,9393
392780,394770,たまに何か拾ってるよね,9417,9465
392780,394770,她確實偶爾會去撿東西,9417,9465
394770,396570,さすが羽丘の天然ちゃん,9465,9508
394770,396570,不愧是羽丘的小天然呆,9465,9508
396570,398250,小動物っぽいよね,9508,9548
396570,398250,像小動物一樣,9508,9548
398960,400930,もう私の話題終わり,9565,9612
398960,400930,我的話題這就結束了嗎,9565,9612
402650,403880,かわいい,9653,9683
402650,403880,好可愛,9653,9683
415950,416990,一緒に帰ろう,9972,9997
415950,416990,一起回家吧,9972,9997
418750,419640,帰ろう,10039,10061
418750,419640,走吧,10039,10061
419970,421140,バンドやってるの,10069,10097
419970,421140,妳們在玩樂隊嗎,10069,10097
422000,424130,まだ始めたばかりだけど,10117,10168
422000,424130,不過才剛開始不久,10117,10168
424130,425410,ねえ,10168,10199
