start_time,end_time,speech,start_frame,end_frame
3480,4370,B,83,104
5450,6870,Emaj7,130,164
7990,8990,B,191,215
9990,11520,Emaj7,239,276
12780,13990,B,306,335
15460,16350,E,370,392
17350,18140,B,415,434
19120,20000,E,458,479
20760,22210,F♯,497,532
20780,22830,初學者應當學會的基本和弦,498,547
23600,26210,F♯…,565,628
28940,29890,B,693,716
31370,32600,B7,752,781
33350,34240,E,799,820
35960,37490,F♯…,862,898
38450,40220,イッタ,921,964
38450,40220,好疼,921,964
40380,42470,めっちゃ腫れてない,968,1018
40380,42470,都腫成這樣了,968,1018
43490,44750,確かこっちに…,1042,1072
43490,44750,我記得還有…,1042,1072
46400,47600,あったあった,1112,1141
46400,47600,找到了找到了,1112,1141
65500,68260,すごい　弾けるようになってる,1570,1636
65500,68260,好厲害 已經會彈了,1570,1636
68670,69600,でしょう,1646,1668
68670,69600,怎麼樣,1646,1668
69600,70880,最後まで弾けんの,1668,1699
69600,70880,能彈完整的嗎,1668,1699
71610,73390,こ…　これからだし,1716,1759
71610,73390,還… 還要練呢,1716,1759
74500,77660,それなんだけど　曲何やる,1786,1861
74500,77660,對了 我們要演奏什麼歌,1786,1861
77920,79980,何曲かいいのあったよ,1868,1917
77920,79980,我有好幾首合適的,1868,1917
79980,81210,『春日影』でいいじゃん,1917,1947
79980,81210,《春日影》不就行了,1917,1947
82300,84510,練習にはいいと思うけど…,1973,2026
82300,84510,只用來練習倒是可以…,1973,2026
84510,86390,練習にはってどういう意味,2026,2071
84510,86390,什麼叫只用來練習,2026,2071
91370,92270,それ…,2190,2212
91370,92270,那是…,2190,2212
93610,94470,歌詞？,2244,2265
93610,94470,歌詞？,2244,2265
95650,97390,もしかして新曲？,2293,2335
95650,97390,難道是新歌？,2293,2335
98640,100250,愛音ちゃんに頼まれて,2364,2403
98640,100250,是愛音讓我寫的,2364,2403
101890,103170,書いてくれたの,2442,2473
101890,103170,妳真的寫了啊,2442,2473
103170,104530,それでか,2473,2506
103170,104530,怪不得啊,2473,2506
105530,106970,見せて見せて,2530,2564
105530,106970,給我看看吧,2530,2564
106970,108700,ちょ　なんで,2564,2606
106970,108700,妳幹嘛啊,2564,2606
109420,111400,初ライブにちょうどいいじゃない,2623,2670
109420,111400,正適合初次Live演奏吧,2623,2670
111400,112790,見せてよ,2670,2704
111400,112790,給我看看啊,2670,2704
112790,115820,私が頼んだんだから　見る権利あるでしょう,2704,2776
112790,115820,是我叫她寫的 應該有權利看吧,2704,2776
117250,118700,ねえ　立希ちゃん,2811,2845
117250,118700,立希,2811,2845
118700,121170,これは燈ちゃんが書いてくれた,2845,2905
118700,121170,這是小燈為我們寫的,2845,2905
121170,123920,新しい私たちの歌なんだよ,2905,2971
121170,123920,全新的我們的歌,2905,2971
125620,126630,分かった,3011,3036
125620,126630,我明白了,3011,3036
128480,129890,曲は私が書く,3080,3114
128480,129890,我來作曲,3080,3114
132340,134460,立希ちゃん　作曲もできるの,3172,3223
132340,134460,立希 妳還會作曲嗎,3172,3223
134460,137690,勉強中だけど　燈が書いてきたんだから,3223,3301
134460,137690,雖然還在學 但燈都寫好詞了,3223,3301
139050,140070,私がやる,3333,3358
139050,140070,我來吧,3333,3358
141570,141980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,3394,3404
141570,141620,もしこの雨が上がっても,3394,3395
141570,141620,もしこの雨が上がっても,3394,3395
141570,141980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,3394,3404
141570,141620,もしこの雨が上がっても,3394,3395
141570,141620,もしこの雨が上がっても,3394,3395
141620,141660,もしこの雨が上がっても,3395,3396
141620,141660,もしこの雨が上がっても,3395,3396
141620,141660,もしこの雨が上がっても,3395,3396
141620,141660,もしこの雨が上がっても,3395,3396
141620,142030,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,3395,3405
141620,141980,m 20 0 b 10 0 0 10 0 20 b 0 31 10 40 20 40 b 31 40 40 31 40 20 b 40 10 31 0 20 0,3395,3404
141620,141660,即使雨過天晴,3395,3396
141620,141620,即使雨過天晴,3395,3395
141620,141660,即使雨過天晴,3395,3396
141620,141660,即使雨過天晴,3395,3396
141620,141620,即使雨過天晴,3395,3395
141620,141660,即使雨過天晴,3395,3396
