start_time,end_time,speech,start_frame,end_frame
830,2730,あれ　いつもより早くない,19,65
830,2730,咦 是不是比平常開得早,19,65
2730,6150,今日はAfterglowのライブだから　楽しみ,65,147
2730,6150,因為今天有Afterglow的Live 太期待了,65,147
7250,8980,サウンドチェックしていきます,173,215
7250,8980,接下來開始試音,173,215
8980,10580,ドラムからお願いします,215,253
8980,10580,先從鼓開始,215,253
10900,11770,キックください,261,282
10900,11770,請敲一下底鼓,261,282
15020,16600,もう気持ちゆっくりで,360,398
15020,16600,稍微節奏舒緩一點,360,398
21280,23920,ヤバイ　Afterglowさんにらんでる,510,573
21280,23920,糟糕 Afterglow在瞪著我們,510,573
23920,25300,はーい　OKです,573,606
23920,25300,好 OK,573,606
25300,26320,スネアください,606,631
25300,26320,接下來是軍鼓,606,631
31050,32670,はい　じゃ　ハイハット,744,783
31050,32670,好 然後是踩鑔,744,783
36890,38490,ギター　ちょっと待ってね,884,922
36890,38490,結他稍微等一下,884,922
39770,41540,じゃ　次　タムください,953,995
39770,41540,接下來是桶鼓,953,995
46130,47030,楽奈ちゃん？,1106,1127
46130,47030,樂奈？,1106,1127
52990,54900,はーい　ドラムOKです,1270,1316
52990,54900,好 鼓手OK了,1270,1316
55600,58030,じゃあ　ベースさん　フレーズでください,1333,1391
55600,58030,接下來是貝斯 來一小段樂句,1333,1391
58030,59000,はーい,1391,1414
58030,59000,好,1391,1414
61530,62460,曲弾くの,1475,1497
61530,62460,要彈奏樂曲嗎,1475,1497
62750,64460,ねえ　チューニングした,1504,1545
62750,64460,我說 妳調好弦了嗎,1504,1545
65370,66120,あれ,1567,1585
65370,66120,奇怪,1567,1585
66790,67820,すみません,1601,1626
66790,67820,不好意思,1601,1626
67820,68670,いいえ,1626,1646
67820,68670,沒關係,1626,1646
68890,69730,じゃ　ギター…,1651,1671
68890,69730,然後結他…,1651,1671
69730,72900,と思ったけど　楽奈ちゃんどっか行っちゃったから,1671,1747
69730,72900,不過樂奈已經跑掉了,1671,1747
72900,73970,捕まえてきます,1747,1773
72900,73970,我去抓她,1747,1773
75180,77440,ギターからやるべきだったか,1802,1856
75180,77440,從結他開始就好了,1802,1856
77820,78980,ごめん　ボーカルさん,1865,1893
77820,78980,不好意思 主唱,1865,1893
