start_time,end_time,speech,start_frame,end_frame
0,3350,一之瀨,0,80
28510,30210,ここが新しい家だよ,683,724
28510,30210,這裡就是新家了,683,724
30210,32170,お母さん　頑張ったでしょう,724,771
30210,32170,媽媽幹得不錯吧,724,771
33600,34420,おいで,805,825
33600,34420,來,805,825
36490,37700,こっちこっち,874,903
36490,37700,這邊這邊,874,903
39500,40990,そよの部屋だよ,947,982
39500,40990,這是妳的房間,947,982
42720,43850,私の…,1024,1051
42720,43850,我的…,1024,1051
47920,48710,きれい,1148,1167
47920,48710,好漂亮,1148,1167
49170,50100,気に入った,1178,1201
49170,50100,喜歡嗎,1178,1201
51250,53000,学区は変わっちゃうけど,1228,1270
51250,53000,雖然學區要變了,1228,1270
53000,55200,行きたい中学があったら教えてね,1270,1323
53000,55200,有想上的初中就告訴媽媽,1270,1323
56880,57890,私は…,1363,1387
56880,57890,我…,1363,1387
59170,60380,お母さんは,1418,1447
59170,60380,媽媽呢,1418,1447
60380,62620,お母さんはどこがいいと思う,1447,1501
60380,62620,媽媽覺得我去哪裡好,1447,1501
63250,64660,月ノ森はどう,1516,1550
63250,64660,月之森怎麼樣,1516,1550
64660,66160,お嬢さま学校だよ,1550,1586
64660,66160,是所大小姐學校哦,1550,1586
66370,67120,でも…,1591,1609
66370,67120,但是…,1591,1609
67120,68720,大丈夫大丈夫,1609,1647
67120,68720,沒事沒事,1609,1647
68720,70180,制服かわいいよ,1647,1682
68720,70180,那裡的校服很可愛,1647,1682
70180,72000,そよが着てるの見たいな,1682,1726
70180,72000,真想看妳穿穿,1682,1726
74630,75430,ちょっとごめん,1789,1808
74630,75430,失陪一下,1789,1808
76420,77760,はい　長崎です,1832,1864
76420,77760,妳好 我是長崎,1832,1864
78190,80330,ええ　そのトレードに関しては…,1874,1925
78190,80330,嗯 關於這筆交易…,1874,1925
80570,81230,はい,1931,1947
80570,81230,是的,1931,1947
81230,82100,ええ　そうです,1947,1968
81230,82100,嗯 沒錯,1947,1968
89140,91570,ごきげんよう,2137,2195
89140,91570,貴安,2137,2195
96030,97280,ごきげんよう,2302,2332
96030,97280,貴安,2302,2332
102920,104210,ごきげんよう,2467,2498
102920,104210,貴安,2467,2498
104880,109110,春の訪れを感じる今日というこのよき日に,2514,2616
104880,109110,在這個能感受到春意萌發的良辰吉日,2514,2616
109110,112380,入学式を開催できましたこと…,2616,2694
109110,112380,我們得以舉辦入學儀式…,2616,2694
114150,116140,部活迷うよね,2736,2784
114150,116140,社團好難抉擇呀,2736,2784
116140,117920,吹部気になるんだけど,2784,2827
116140,117920,我對吹奏樂部有點興趣,2784,2827
117920,119520,厳しいって聞かない,2827,2865
117920,119520,聽說有點嚴格吧,2827,2865
121590,122850,そよちゃん　お願い,2915,2945
121590,122850,爽世 拜託了,2915,2945
122850,124510,一緒に見に行ってくれない,2945,2985
122850,124510,能陪我一起去看看嗎,2945,2985
125670,128080,うん　私も行きたかったんだ,3013,3070
125670,128080,嗯 我正好也想去看看,3013,3070
128080,129660,ホント　やった,3070,3108
128080,129660,真的嗎 太好了,3070,3108
